mol_id,atom_id,score
A:CMU1481,Cl1,15.2370004654
A:CMU1481,C2,17.9500007629
A:CMU1481,C3,17.9500007629
A:CMU1481,C4,17.9500007629
A:CMU1481,N5,17.4160003662
A:CMU1481,C6,17.7059993744
A:CMU1481,C7,16.0489997864
A:CMU1481,C8,15.7449998856
A:CMU1481,C9,15.7550001144
A:CMU1481,N10,14.6370000839
A:CMU1481,N11,20.4340000153
A:CMU1481,C12,17.9500007629
A:CMU1481,O13,20.3869991302
A:CMU1481,N14,17.6459999084
A:CMU1481,C15,17.9500007629
A:CMU1481,O16,20.6609992981
