,scores,cavity
1014,17.71299934387207,1
1015,17.71299934387207,1
1016,17.71299934387207,1
1044,17.71299934387207,1
1045,20.77199935913086,1
1046,20.77199935913086,1
1047,20.77199935913086,1
1074,17.71299934387207,1
1075,20.77199935913086,1
1076,20.77199935913086,1
1077,20.77199935913086,1
1105,20.77199935913086,1
1106,20.77199935913086,1
1107,20.77199935913086,1
1373,18.614999771118164,1
1374,18.614999771118164,1
1375,18.566999435424805,1
1403,18.614999771118164,1
1404,18.614999771118164,1
1405,18.566999435424805,1
1406,17.71299934387207,1
1433,18.614999771118164,1
1434,18.614999771118164,1
1435,20.77199935913086,1
1436,20.77199935913086,1
1437,20.77199935913086,1
1464,17.71299934387207,1
1465,20.77199935913086,1
1466,20.77199935913086,1
1467,20.77199935913086,1
1495,20.77199935913086,1
1496,20.77199935913086,1
1497,20.77199935913086,1
1654,20.479000091552734,1
1684,20.479000091552734,1
1714,20.479000091552734,1
1733,18.780000686645508,1
1734,18.780000686645508,1
1735,18.780000686645508,1
1736,17.899999618530273,1
1762,20.139999389648438,1
1763,20.683000564575195,1
1764,20.683000564575195,1
1765,20.683000564575195,1
1766,19.165000915527344,1
1792,20.139999389648438,1
1793,20.683000564575195,1
1794,20.683000564575195,1
1795,20.683000564575195,1
1796,19.165000915527344,1
1822,20.139999389648438,1
1823,20.683000564575195,1
1824,20.683000564575195,1
1825,20.77199935913086,1
1826,20.77199935913086,1
1827,20.77199935913086,1
1854,17.71299934387207,1
1855,20.77199935913086,1
1856,20.77199935913086,1
1857,20.77199935913086,1
1885,20.77199935913086,1
1886,20.77199935913086,1
1887,20.77199935913086,1
2044,20.815000534057617,1
2045,20.815000534057617,1
2074,20.815000534057617,1
2075,20.815000534057617,1
2076,20.815000534057617,1
2104,20.815000534057617,1
2105,20.815000534057617,1
2106,20.815000534057617,1
2123,18.780000686645508,1
2124,18.780000686645508,1
2125,18.780000686645508,1
2126,18.024999618530273,1
2152,20.139999389648438,1
2153,20.683000564575195,1
2154,20.683000564575195,1
2155,20.683000564575195,1
2156,19.165000915527344,1
2182,20.139999389648438,1
2183,20.683000564575195,1
2184,20.683000564575195,1
2185,20.683000564575195,1
2186,19.165000915527344,1
2212,20.139999389648438,1
2213,20.683000564575195,1
2214,20.683000564575195,1
2215,20.683000564575195,1
2216,19.165000915527344,1
2434,20.815000534057617,1
2435,21.749000549316406,1
2464,20.815000534057617,1
2465,24.621999740600586,1
2466,26.225000381469727,1
2467,26.225000381469727,1
2468,26.225000381469727,1
2494,20.815000534057617,1
2495,24.621999740600586,1
2496,26.225000381469727,1
2497,26.225000381469727,1
2498,26.225000381469727,1
2513,18.780000686645508,1
2514,18.780000686645508,1
2515,18.780000686645508,1
2516,18.024999618530273,1
2525,24.621999740600586,1
2526,26.225000381469727,1
2527,26.225000381469727,1
2528,26.225000381469727,1
2542,20.139999389648438,1
2543,20.683000564575195,1
2544,20.683000564575195,1
2545,20.683000564575195,1
2546,19.165000915527344,1
2555,17.94099998474121,1
2572,20.139999389648438,1
2573,20.683000564575195,1
2574,20.683000564575195,1
2575,20.683000564575195,1
2576,19.165000915527344,1
2602,20.139999389648438,1
2603,20.683000564575195,1
2604,20.683000564575195,1
2605,20.683000564575195,1
2606,19.165000915527344,1
2824,20.815000534057617,1
2825,24.679000854492188,1
2826,26.545000076293945,1
2827,26.545000076293945,1
2828,26.545000076293945,1
2829,22.37299919128418,1
2854,20.815000534057617,1
2855,24.679000854492188,1
2856,29.8700008392334,1
2857,29.8700008392334,1
2858,29.8700008392334,1
2859,24.95199966430664,1
2884,20.815000534057617,1
2885,24.679000854492188,1
2886,29.8700008392334,1
2887,29.8700008392334,1
2888,29.8700008392334,1
2889,24.95199966430664,1
2904,18.024999618530273,1
2905,18.024999618530273,1
2906,18.024999618530273,1
2915,24.621999740600586,1
2916,29.8700008392334,1
2917,29.8700008392334,1
2918,29.8700008392334,1
2919,24.95199966430664,1
2934,18.024999618530273,1
2935,18.024999618530273,1
2936,18.024999618530273,1
2945,17.94099998474121,1
2946,17.94099998474121,1
2947,17.94099998474121,1
2963,17.738000869750977,1
2964,18.024999618530273,1
2965,18.024999618530273,1
2966,18.024999618530273,1
2993,17.738000869750977,1
2994,17.738000869750977,1
2995,17.738000869750977,1
3214,17.816999435424805,1
3215,24.679000854492188,1
3216,26.545000076293945,1
3217,26.545000076293945,1
3218,26.545000076293945,1
3219,23.17799949645996,1
3244,17.816999435424805,1
3245,24.679000854492188,1
3246,29.8700008392334,1
3247,29.8700008392334,1
3248,29.8700008392334,1
3249,25.382999420166016,1
3274,17.816999435424805,1
3275,24.679000854492188,1
3276,29.8700008392334,1
3277,29.8700008392334,1
3278,29.8700008392334,1
3279,25.382999420166016,1
3305,24.621999740600586,1
3306,29.8700008392334,1
3307,29.8700008392334,1
3308,29.8700008392334,1
3309,25.382999420166016,1
3335,17.94099998474121,1
3336,17.94099998474121,1
3337,17.94099998474121,1
3576,20.038999557495117,1
3577,20.038999557495117,1
3605,24.679000854492188,1
3606,26.545000076293945,1
3607,26.545000076293945,1
3608,26.545000076293945,1
3609,23.17799949645996,1
3635,24.679000854492188,1
3636,29.8700008392334,1
3637,29.8700008392334,1
3638,29.8700008392334,1
3639,25.382999420166016,1
3665,24.679000854492188,1
3669,25.382999420166016,1
3670,19.084999084472656,1
3695,22.54400062561035,1
3699,25.382999420166016,1
3966,20.038999557495117,1
3995,23.58099937438965,1
3996,25.913999557495117,1
3997,25.913999557495117,1
3998,25.913999557495117,1
3999,23.17799949645996,1
4025,23.58099937438965,1
4026,27.809999465942383,1
4027,27.809999465942383,1
4028,27.809999465942383,1
4029,25.382999420166016,1
4055,23.58099937438965,1
4056,27.809999465942383,1
4057,27.809999465942383,1
4058,27.809999465942383,1
4059,25.382999420166016,1
4060,19.084999084472656,1
4085,22.54400062561035,1
4086,27.809999465942383,1
4087,27.809999465942383,1
4088,27.809999465942383,1
4089,25.382999420166016,1
4356,18.017000198364258,1
4385,17.833999633789062,1
4386,22.634000778198242,1
4387,22.634000778198242,1
4388,22.634000778198242,1
4389,22.040000915527344,1
4415,18.4950008392334,1
4416,22.634000778198242,1
4417,22.634000778198242,1
4418,22.634000778198242,1
4419,22.040000915527344,1
4445,18.4950008392334,1
4446,22.634000778198242,1
4447,22.634000778198242,1
4448,22.634000778198242,1
4449,22.040000915527344,1
4475,18.4950008392334,1
4476,21.815000534057617,1
4477,21.815000534057617,1
4478,21.815000534057617,1
4479,19.8799991607666,1
4806,19.604999542236328,1
4807,19.604999542236328,1
4836,19.604999542236328,1
4837,19.604999542236328,1
4866,19.604999542236328,1
4867,19.604999542236328,1
4868,19.604999542236328,1
5196,19.604999542236328,1
5197,19.604999542236328,1
5226,19.604999542236328,1
5227,19.604999542236328,1
5256,19.604999542236328,1
5257,19.604999542236328,1
5258,19.604999542236328,1
5586,19.59000015258789,1
5587,19.59000015258789,1
5614,18.711000442504883,1
5615,18.711000442504883,1
5616,19.59000015258789,1
5617,19.59000015258789,1
5644,18.711000442504883,1
5645,18.711000442504883,1
5646,19.59000015258789,1
5647,19.59000015258789,1
5648,19.59000015258789,1
5674,18.711000442504883,1
5675,18.711000442504883,1
5676,18.711000442504883,1
6004,18.711000442504883,1
6005,18.711000442504883,1
6034,18.711000442504883,1
6035,18.711000442504883,1
6064,18.711000442504883,1
6065,18.711000442504883,1
6066,18.711000442504883,1
6332,18.19499969482422,1
6362,18.19499969482422,1
6363,18.19499969482422,1
6392,18.19499969482422,1
6393,18.19499969482422,1
6394,18.711000442504883,1
6395,18.711000442504883,1
6424,18.711000442504883,1
6425,18.711000442504883,1
6454,18.711000442504883,1
6455,18.711000442504883,1
6456,18.711000442504883,1
6722,18.19499969482422,1
6752,18.19499969482422,1
6753,18.19499969482422,1
6782,18.19499969482422,1
6783,18.19499969482422,1
6784,18.19499969482422,1
7112,18.19499969482422,1
7142,18.19499969482422,1
7172,18.19499969482422,1
7173,18.19499969482422,1
7174,18.19499969482422,1
7989,18.48900032043457,1
8379,18.48900032043457,1
8706,18.332000732421875,1
8707,18.48900032043457,1
8708,18.48900032043457,1
8709,18.48900032043457,1
8736,18.332000732421875,1
8737,18.48900032043457,1
8738,18.48900032043457,1
8739,18.48900032043457,1
8766,18.332000732421875,1
8767,18.48900032043457,1
8768,18.48900032043457,1
8769,18.48900032043457,1
11440,18.125999450683594,1
11441,18.125999450683594,1
11442,18.125999450683594,1
11468,18.125999450683594,1
11469,18.125999450683594,1
11470,18.125999450683594,1
11471,18.01799964904785,1
11472,18.01799964904785,1
11473,18.01799964904785,1
11496,18.125999450683594,1
11497,18.125999450683594,1
11498,18.125999450683594,1
11499,18.01799964904785,1
11500,18.01799964904785,1
11501,18.01799964904785,1
11525,17.975000381469727,1
11526,17.975000381469727,1
11527,18.01799964904785,1
11528,18.01799964904785,1
11529,18.01799964904785,1
11553,17.975000381469727,1
11554,17.975000381469727,1
11555,17.975000381469727,1
12029,17.450000762939453,1
12030,17.450000762939453,1
12031,17.450000762939453,1
12055,17.645999908447266,1
12056,17.849000930786133,1
12057,17.92099952697754,1
12058,18.270999908447266,1
12059,18.270999908447266,1
12060,18.270999908447266,1
12082,18.246999740600586,1
12083,18.270999908447266,1
12084,18.270999908447266,1
12085,18.270999908447266,1
12086,18.270999908447266,1
12087,18.270999908447266,1
12088,18.270999908447266,1
12089,17.773000717163086,1
12090,17.448999404907227,1
12111,18.270999908447266,1
12112,18.270999908447266,1
12113,18.270999908447266,1
12114,18.270999908447266,1
12115,18.507999420166016,1
12116,18.507999420166016,1
12117,18.507999420166016,1
12118,18.179000854492188,1
12139,18.270999908447266,1
12140,18.507999420166016,1
12141,18.507999420166016,1
12142,18.507999420166016,1
12143,18.507999420166016,1
12144,18.507999420166016,1
12145,18.507999420166016,1
12146,18.179000854492188,1
12167,18.125999450683594,1
12168,18.507999420166016,1
12169,18.507999420166016,1
12170,18.507999420166016,1
12171,18.507999420166016,1
12172,18.507999420166016,1
12173,18.507999420166016,1
12174,18.179000854492188,1
12196,18.507999420166016,1
12197,18.507999420166016,1
12198,18.507999420166016,1
12199,18.197999954223633,1
12670,17.42300033569336,1
12671,17.42300033569336,1
12672,18.010000228881836,1
12673,18.722999572753906,1
12674,18.722999572753906,1
12675,18.722999572753906,1
12676,18.264999389648438,1
12698,18.16900062561035,1
12699,18.16900062561035,1
12700,18.16900062561035,1
12701,18.722999572753906,1
12702,18.722999572753906,1
12703,18.722999572753906,1
12704,18.270999908447266,1
12705,18.006000518798828,1
12727,18.683000564575195,1
12728,18.683000564575195,1
12729,18.722999572753906,1
12730,18.722999572753906,1
12731,18.722999572753906,1
12732,18.621999740600586,1
12733,18.158000946044922,1
12734,17.937000274658203,1
12735,17.774999618530273,1
12736,17.666000366210938,1
12755,18.683000564575195,1
12756,18.683000564575195,1
12757,18.634000778198242,1
12758,18.634000778198242,1
12759,18.634000778198242,1
12760,18.621999740600586,1
12761,18.58799934387207,1
12762,18.179000854492188,1
12763,18.07900047302246,1
12764,18.07900047302246,1
12783,18.683000564575195,1
12784,18.683000564575195,1
12785,18.683000564575195,1
12786,18.683000564575195,1
12787,18.634000778198242,1
12788,18.621999740600586,1
12789,18.58799934387207,1
12790,18.179000854492188,1
12791,18.07900047302246,1
12792,18.07900047302246,1
12811,18.69300079345703,1
12812,18.73200035095215,1
12813,18.73200035095215,1
12814,18.73200035095215,1
12815,18.634000778198242,1
12816,18.58799934387207,1
12817,18.58799934387207,1
12818,18.179000854492188,1
12819,18.07900047302246,1
12820,18.07900047302246,1
12839,18.69300079345703,1
12840,18.73200035095215,1
12841,18.73200035095215,1
12842,18.73200035095215,1
12843,18.621999740600586,1
12864,17.756999969482422,1
12865,18.69300079345703,1
12866,18.69300079345703,1
12867,18.69300079345703,1
12868,18.73200035095215,1
12869,18.73200035095215,1
12870,18.73200035095215,1
12893,17.492000579833984,1
12894,18.409000396728516,1
12895,18.409000396728516,1
12896,18.409000396728516,1
12897,18.37700080871582,1
13314,17.898000717163086,1
13315,17.898000717163086,1
13316,18.010000228881836,1
13317,18.722999572753906,1
13318,18.722999572753906,1
13319,18.722999572753906,1
13320,18.264999389648438,1
13321,18.023000717163086,1
13341,18.17099952697754,1
13342,18.388999938964844,1
13343,18.388999938964844,1
13344,18.388999938964844,1
13345,18.722999572753906,1
13346,18.722999572753906,1
13347,18.722999572753906,1
13348,18.270999908447266,1
13349,18.023000717163086,1
13350,17.989999771118164,1
13371,18.683000564575195,1
13372,18.683000564575195,1
13373,18.722999572753906,1
13374,18.722999572753906,1
13375,18.722999572753906,1
13376,18.621999740600586,1
13377,18.191999435424805,1
13378,18.191999435424805,1
13379,18.027000427246094,1
13380,17.666000366210938,1
13381,17.49799919128418,1
13399,18.683000564575195,1
13400,18.683000564575195,1
13401,18.642000198364258,1
13402,18.642000198364258,1
13403,18.642000198364258,1
13404,18.621999740600586,1
13405,18.58799934387207,1
13406,18.402999877929688,1
13407,18.402999877929688,1
13408,18.179000854492188,1
13427,18.804000854492188,1
13428,18.804000854492188,1
13429,18.804000854492188,1
13430,18.804000854492188,1
13431,18.642000198364258,1
13432,18.621999740600586,1
13433,18.58799934387207,1
13434,18.402999877929688,1
13435,18.402999877929688,1
13455,18.804000854492188,1
13456,18.804000854492188,1
13457,18.804000854492188,1
13458,18.804000854492188,1
13459,18.642000198364258,1
13460,18.58799934387207,1
13461,18.58799934387207,1
